iter	Passed	Remaining
0	56	56486
1	57	28510
2	57	19173
3	58	14511
4	58	11709
5	59	9843
6	59	8509
7	60	7507
8	61	6725
9	61	6098
10	62	5590
11	62	5164
12	63	4803
13	63	4494
14	64	4226
15	64	3990
16	65	3782
17	65	3600
18	66	3434
19	67	3286
20	67	3151
21	68	3030
22	68	2918
23	69	2817
24	69	2723
25	70	2636
26	70	2556
27	71	2481
28	71	2410
29	72	2345
30	73	2284
31	73	2226
32	74	2173
33	74	2122
34	75	2074
35	75	2029
36	76	1987
37	76	1948
38	77	1909
39	78	1872
40	78	1838
41	79	1806
42	79	1774
43	80	1744
44	80	1715
45	81	1686
46	81	1661
47	82	1637
48	83	1617
49	83	1594
50	84	1573
51	85	1552
52	85	1531
53	86	1510
54	86	1491
55	87	1472
56	87	1453
57	88	1436
58	88	1419
59	89	1402
60	90	1385
61	90	1370
62	91	1355
63	91	1341
64	92	1327
65	92	1313
66	93	1300
67	93	1282
68	94	1270
69	94	1258
70	95	1246
71	95	1234
72	96	1223
73	96	1211
74	97	1200
75	97	1189
76	98	1180
77	99	1170
78	99	1160
79	100	1151
80	100	1141
81	101	1133
82	101	1124
83	102	1115
84	102	1103
85	103	1096
86	103	1085
87	103	1077
88	104	1069
89	105	1062
90	105	1054
91	106	1047
92	106	1040
93	107	1033
94	107	1025
95	108	1019
96	108	1012
97	109	1005
98	109	999
99	110	992
100	110	986
101	111	977
102	111	971
103	112	966
104	112	960
105	113	954
106	113	949
107	114	943
108	114	938
109	115	932
110	115	927
111	116	923
112	116	918
113	117	912
114	117	907
115	118	902
116	118	897
117	119	892
118	119	887
119	120	882
120	120	878
121	121	873
122	121	867
123	122	863
124	122	859
125	123	855
126	123	851
127	124	845
128	124	841
129	125	838
130	125	834
131	126	830
132	126	826
133	127	822
134	127	819
135	128	815
136	128	812
137	129	807
138	129	804
139	130	801
140	130	797
141	131	794
142	131	790
143	132	787
144	132	784
145	133	780
146	134	777
147	134	774
148	135	771
149	135	768
150	136	765
151	136	762
152	137	759
153	137	757
154	138	754
155	138	751
156	139	748
157	140	746
158	140	743
159	141	740
160	141	738
161	142	735
162	142	733
163	143	730
164	143	728
165	144	725
166	144	722
167	145	720
168	145	717
169	146	714
170	146	712
171	147	710
172	148	707
173	148	705
174	149	702
175	149	700
176	150	698
177	150	695
178	151	693
179	151	691
180	151	687
181	152	685
182	153	683
183	153	681
184	154	679
185	154	676
186	155	674
187	155	672
188	156	670
189	156	668
190	157	666
191	157	664
192	158	662
193	158	660
194	159	658
195	160	656
196	160	654
197	161	652
198	161	650
199	162	648
200	162	646
201	163	644
202	163	642
203	164	640
204	164	639
205	165	637
206	165	635
207	166	632
208	166	630
209	167	628
210	167	626
211	167	623
212	168	621
213	168	619
214	168	616
215	169	614
216	169	612
217	170	610
218	170	607
219	170	605
220	171	603
221	171	601
222	172	599
223	172	597
224	172	595
225	173	593
226	173	591
227	173	588
228	174	586
229	174	584
230	175	582
231	175	580
232	175	578
233	176	576
234	176	574
235	177	573
236	177	571
237	177	569
238	178	567
239	178	565
240	178	563
241	179	561
242	179	559
243	180	557
244	180	555
245	180	554
246	181	552
247	181	550
248	181	548
249	182	546
250	182	545
251	183	543
252	183	541
253	183	540
254	184	538
255	184	536
256	185	535
257	185	533
258	185	531
259	186	530
260	186	528
261	187	526
262	187	525
263	187	523
264	188	522
265	188	521
266	189	519
267	189	517
268	189	516
269	190	514
270	190	513
271	191	511
272	191	509
273	191	508
274	192	506
275	192	505
276	193	503
277	193	502
278	193	500
279	194	499
280	194	497
281	194	496
282	195	494
283	195	493
284	196	492
285	196	490
286	196	489
287	197	487
288	197	486
289	198	484
290	198	483
291	198	482
292	199	480
293	199	479
294	199	477
295	200	476
296	200	475
297	201	473
298	201	472
299	201	470
300	202	469
301	202	468
302	202	466
303	203	465
304	203	464
305	204	462
