iter	Passed	Remaining
0	0	861
1	1	729
2	2	686
3	2	641
4	3	622
5	3	626
6	4	636
7	5	639
8	5	635
9	6	635
10	7	637
11	8	658
12	8	652
13	9	644
14	9	638
15	10	632
16	10	630
17	11	627
18	12	628
19	12	625
20	13	622
21	13	620
22	14	619
23	15	616
24	15	613
25	16	610
26	16	607
27	17	604
28	17	600
29	18	600
30	19	605
31	20	605
32	20	605
33	21	608
34	22	607
35	22	607
36	23	604
37	23	605
38	24	604
39	25	604
40	25	602
41	26	602
42	27	603
43	27	602
44	28	602
45	28	601
46	29	598
47	30	596
48	30	594
49	31	592
50	31	590
51	32	588
52	32	588
53	33	587
54	34	589
55	34	589
56	35	589
57	36	588
58	36	586
59	37	585
60	37	583
61	38	581
62	39	580
63	39	578
64	40	577
65	40	577
66	41	577
67	42	577
68	43	580
69	43	581
70	44	580
71	44	578
72	45	576
73	45	575
74	46	574
75	47	573
76	47	572
77	48	575
78	49	575
79	49	574
80	50	575
81	51	573
82	51	568
83	52	576
84	53	575
85	54	574
86	54	573
87	55	572
88	55	570
89	56	570
90	57	570
91	57	571
92	58	569
93	58	568
94	59	566
95	60	565
96	60	564
97	61	563
98	61	562
99	62	562
100	63	563
101	64	569
102	65	568
103	65	567
104	66	568
105	67	567
106	68	567
107	68	567
108	69	567
109	70	567
110	70	566
111	71	568
112	72	567
113	72	566
114	73	565
115	74	564
116	74	561
117	74	560
118	75	559
119	76	558
120	76	558
121	77	560
122	78	560
123	79	559
124	79	558
125	80	558
126	81	556
127	81	555
128	82	554
129	82	554
130	83	553
131	83	552
132	84	551
133	85	550
134	85	549
135	86	548
136	87	548
137	87	548
138	88	548
139	89	548
140	89	547
141	90	544
142	90	543
143	91	543
144	92	544
145	92	543
146	93	542
147	94	541
148	94	541
149	95	540
150	95	539
151	96	538
152	97	537
153	97	535
154	98	535
155	98	534
156	99	533
157	100	533
158	100	532
159	101	531
160	101	529
161	102	528
162	102	527
163	103	526
164	103	525
165	104	523
166	104	523
167	105	524
168	106	525
169	107	524
170	107	523
171	108	522
172	109	521
173	109	520
174	110	519
175	110	518
176	111	517
177	111	516
178	112	515
179	112	514
180	113	513
181	114	513
182	114	512
183	115	512
184	116	511
185	116	511
186	117	510
187	118	509
188	118	508
189	119	508
190	119	507
191	120	507
192	121	507
193	121	506
194	122	505
195	123	505
196	123	504
197	124	503
198	124	502
199	125	501
200	125	500
201	126	499
202	127	498
203	127	498
204	128	497
205	128	496
206	129	495
207	129	494
208	130	493
209	130	492
210	131	491
211	132	490
212	132	490
213	133	489
214	133	488
215	134	488
216	135	487
217	135	486
218	136	486
219	137	486
220	137	485
221	138	484
222	138	483
223	139	482
224	139	481
225	140	481
226	141	480
227	141	479
228	142	479
229	142	478
230	143	477
231	144	477
232	144	476
233	145	475
234	145	474
235	146	474
236	147	473
237	147	472
238	148	472
239	148	471
240	149	470
241	150	469
242	150	469
243	151	468
244	151	468
245	152	467
246	153	466
247	153	465
248	154	465
249	154	464
250	155	463
251	155	462
252	156	461
253	156	460
254	157	459
255	157	457
256	158	457
257	158	455
258	158	454
259	159	453
260	159	452
261	160	451
262	160	449
263	161	449
264	161	448
265	162	447
266	162	446
267	163	445
268	163	444
269	163	443
270	164	442
271	165	441
272	165	441
273	166	440
274	166	439
275	167	438
276	167	437
277	168	436
278	168	436
279	169	435
280	169	434
281	170	433
282	170	432
283	171	431
284	171	430
285	172	429
286	172	428
287	173	428
288	173	427
289	174	427
290	175	426
291	175	425
292	176	424
293	176	423
294	176	422
295	177	421
296	177	420
297	178	419
298	178	418
299	178	417
300	179	417
301	180	416
302	180	415
303	181	414
304	181	413
305	182	412
306	182	412
307	182	411
308	183	410
309	183	409
310	184	408
311	184	407
312	185	406
313	185	406
314	186	405
315	187	405
316	188	405
317	188	404
318	189	403
319	189	403
320	190	402
321	190	401
322	191	400
323	191	399
324	191	398
325	192	397
326	192	396
327	193	395
328	193	394
329	194	394
330	194	393
331	195	392
332	195	391
333	196	390
334	196	389
335	196	389
336	197	388
337	197	387
338	198	386
339	198	385
340	198	384
341	199	383
342	199	382
343	199	381
344	200	380
345	200	379
346	201	378
347	201	378
348	202	377
349	202	376
350	202	375
351	203	374
352	203	373
353	204	372
354	204	371
355	204	370
356	205	369
357	205	368
358	206	367
359	206	367
360	206	366
361	207	365
362	207	364
363	208	364
364	208	363
365	209	362
366	209	361
367	210	360
368	210	359
369	210	359
370	211	358
371	211	357
372	212	356
373	212	355
374	212	354
375	213	353
376	213	353
377	214	352
378	214	351
379	214	350
380	215	350
381	215	349
382	216	348
383	216	347
384	217	347
385	217	346
386	218	345
387	218	345
388	219	344
389	219	343
390	219	342
391	220	341
392	220	340
393	221	340
394	221	339
395	221	338
396	222	338
397	223	337
398	223	336
399	223	335
400	224	334
401	224	334
402	225	333
403	225	332
404	225	331
405	226	330
406	226	330
407	226	329
408	227	328
409	227	327
410	228	326
411	228	326
412	228	325
413	229	324
414	229	324
415	230	323
416	230	322
417	231	321
418	231	321
419	232	320
420	232	319
421	232	318
422	233	318
423	233	317
424	234	317
425	234	316
426	235	315
427	235	314
428	235	313
429	236	313
430	236	312
431	237	312
432	237	311
433	238	310
434	238	310
435	239	309
436	239	308
437	239	307
438	240	307
439	240	306
440	241	305
441	241	304
442	241	304
443	242	303
444	242	302
445	243	301
446	243	301
447	244	300
448	244	299
449	244	299
450	245	298
451	245	297
452	246	297
453	246	296
454	246	295
455	247	294
456	247	294
457	247	293
458	248	292
459	248	292
460	249	291
461	249	290
462	249	289
463	250	289
464	251	288
465	251	288
466	252	287
467	252	287
468	253	286
469	253	286
470	254	285
471	254	284
472	255	284
473	255	283
474	255	282
475	256	282
476	256	281
477	257	280
478	257	280
479	258	279
480	258	278
481	259	278
482	259	277
483	259	277
484	260	276
485	260	275
486	261	275
487	261	274
488	261	273
489	262	272
490	262	272
491	263	271
492	263	270
493	263	270
494	264	269
495	264	268
496	265	268
497	265	267
498	266	267
499	266	266
500	266	265
501	267	265
502	267	264
503	268	263
504	268	263
505	268	262
506	269	261
507	269	261
508	270	260
509	270	259
510	270	259
511	271	258
512	271	257
513	272	257
514	272	256
515	273	256
516	273	255
517	273	254
518	274	254
519	274	253
520	275	252
521	275	252
522	275	251
523	276	250
524	276	250
525	277	249
526	277	248
527	277	248
528	278	247
529	278	247
530	278	246
531	279	245
532	280	245
533	280	244
534	280	244
535	281	243
536	281	242
537	281	242
538	282	241
539	282	240
540	283	240
541	283	239
542	283	238
543	284	238
544	284	237
545	285	237
546	285	236
547	285	235
548	286	235
549	286	234
550	287	234
551	288	233
552	288	233
553	288	232
554	289	231
555	289	231
556	290	230
557	290	230
558	291	229
559	291	228
560	291	228
561	292	227
562	292	227
563	293	226
564	293	226
565	294	225
566	294	225
567	295	224
568	295	223
569	295	223
570	296	222
571	296	221
572	297	221
573	297	220
574	297	220
575	298	219
576	298	218
577	299	218
578	299	217
579	299	217
580	300	216
581	300	216
582	301	215
583	301	215
584	302	214
585	302	213
586	303	213
587	303	212
588	303	211
589	304	211
590	304	210
591	304	210
592	305	209
593	305	208
594	306	208
595	306	207
596	307	207
597	307	206
598	307	206
599	308	205
600	308	205
601	309	204
602	309	203
603	310	203
604	310	202
605	310	202
606	311	201
607	311	200
608	312	200
609	312	199
610	312	199
611	313	198
612	313	198
613	314	197
614	314	197
615	315	196
616	315	195
617	316	195
618	316	194
619	316	194
620	317	193
621	317	193
622	318	192
623	318	191
624	318	191
625	319	190
626	319	190
627	320	189
628	320	189
629	321	188
630	321	187
631	321	187
632	322	186
633	322	186
634	323	185
635	323	185
636	324	184
637	324	184
638	325	183
639	325	183
640	326	182
641	326	182
642	326	181
643	327	180
644	327	180
645	328	179
646	328	179
647	328	178
648	329	178
649	329	177
650	330	177
651	330	176
652	331	175
653	331	175
654	331	174
655	332	174
656	332	173
657	333	173
658	333	172
659	334	172
660	335	171
661	335	171
662	336	171
663	336	170
664	337	169
665	337	169
666	338	168
667	338	168
668	339	167
669	339	167
670	339	166
671	340	166
672	340	165
673	341	165
674	341	164
675	342	164
676	343	163
677	343	163
678	344	162
679	344	162
680	345	161
681	346	161
682	346	160
683	347	160
684	347	159
685	348	159
686	348	158
687	349	158
688	349	157
689	349	157
690	350	156
691	350	156
692	351	155
693	351	155
694	352	154
695	353	154
696	353	153
697	354	153
698	354	152
699	355	152
700	355	151
701	356	151
702	356	150
703	357	150
704	357	149
705	358	149
706	358	148
707	358	148
708	359	147
709	359	146
710	360	146
711	360	145
712	361	145
713	361	144
714	362	144
715	362	143
716	362	143
717	363	142
718	363	142
719	364	141
720	364	141
721	365	140
722	365	140
723	366	139
724	367	139
725	368	138
726	368	138
727	369	137
728	369	137
729	370	136
730	370	136
731	371	135
732	371	135
733	372	134
734	372	134
735	373	133
736	373	133
737	374	132
738	374	132
739	374	131
740	375	131
741	375	130
742	376	130
743	376	129
744	377	129
745	377	128
746	378	128
747	378	127
748	378	126
749	379	126
750	379	125
751	380	125
752	381	125
753	381	124
754	382	124
755	383	123
756	383	123
757	384	122
758	384	122
759	385	121
760	385	121
761	386	120
762	386	120
763	387	119
764	387	119
765	388	118
766	388	118
767	388	117
768	389	116
769	389	116
770	390	115
771	390	115
772	391	114
773	391	114
774	392	113
775	392	113
776	392	112
777	393	112
778	393	111
779	394	111
780	394	110
781	395	110
782	396	109
783	396	109
784	397	108
785	397	108
786	398	107
787	398	107
788	399	106
789	399	106
790	400	105
791	400	105
792	400	104
793	401	104
794	401	103
795	402	103
796	402	102
797	403	102
798	403	101
799	404	101
800	404	100
801	405	100
802	406	99
803	406	99
804	407	98
805	407	98
806	407	97
807	408	96
808	408	96
809	409	96
810	410	95
811	411	95
812	411	94
813	412	94
814	413	93
815	413	93
816	413	92
817	414	92
818	414	91
819	415	91
820	415	90
821	416	90
822	416	89
823	416	89
824	417	88
825	417	88
826	418	87
827	418	87
828	419	86
829	419	86
830	420	85
831	420	84
832	421	84
833	421	83
834	421	83
835	422	82
836	422	82
837	423	81
838	424	81
839	424	80
840	425	80
841	426	79
842	426	79
843	427	78
844	427	78
845	428	77
846	428	77
847	428	76
848	429	76
849	429	75
850	430	75
851	430	74
852	431	74
853	431	73
854	432	73
855	432	72
856	432	72
857	433	71
858	434	71
859	434	70
860	434	70
861	435	69
862	435	69
863	435	68
864	436	68
865	436	67
866	437	67
867	437	66
868	438	66
869	439	65
870	440	65
871	440	64
872	441	64
873	441	63
874	442	63
875	442	62
876	442	62
877	443	61
878	443	61
879	444	60
880	444	60
881	445	59
882	445	59
883	446	58
884	446	58
885	446	57
886	447	56
887	447	56
888	448	56
889	448	55
890	449	54
891	449	54
892	450	53
893	450	53
894	450	52
895	451	52
896	451	51
897	452	51
898	453	50
899	454	50
900	454	49
901	455	49
902	455	48
903	456	48
904	456	47
905	457	47
906	457	46
907	458	46
908	458	45
909	459	45
910	459	44
911	460	44
912	460	43
913	461	43
914	461	42
915	461	42
916	462	41
917	463	41
918	463	40
919	464	40
920	464	39
921	465	39
922	465	38
923	466	38
924	467	37
925	468	37
926	468	36
927	469	36
928	469	35
929	470	35
930	470	34
931	471	34
932	471	33
933	472	33
934	473	32
935	473	32
936	474	31
937	474	31
938	475	30
939	475	30
940	476	29
941	476	29
942	477	28
943	477	28
944	478	27
945	478	27
946	478	26
947	479	26
948	479	25
949	480	25
950	481	24
951	481	24
952	482	23
953	483	23
954	483	22
955	484	22
956	484	21
957	485	21
958	485	20
959	485	20
960	486	19
961	486	19
962	487	18
963	487	18
964	488	17
965	488	17
966	488	16
967	489	16
968	489	15
969	490	15
970	490	14
971	491	14
972	491	13
973	492	13
974	492	12
975	492	12
976	493	11
977	493	11
978	494	10
979	494	10
980	494	9
981	495	9
982	496	8
983	497	8
984	497	7
985	498	7
986	498	6
987	499	6
988	499	5
989	500	5
990	500	4
991	501	4
992	501	3
993	501	3
994	502	2
995	502	2
996	503	1
997	503	1
998	504	0
999	504	0
